clarity,price,Fair,Good,Ideal,Premium,Very Good,D,E,F,G,H,I,J,carat,depth,table,x,y,z
7,914,0,0,1,0,0,0,0,1,0,0,0,0,-1.0305615150279983,-0.3738110161603174,-0.6521294887085057,-1.2137513518885845,-1.206496900716348,-1.233113705279376
2,393,0,0,0,0,1,0,0,0,0,1,0,0,-1.0518191037119577,-2.128276168666098,2.4442206533454582,-1.2585066480463751,-1.224537888343959,-1.4209531193572753
6,2015,0,0,1,0,0,0,0,0,1,0,0,0,-0.562894563980893,-0.30363241006009023,-0.6521294887085057,-0.45291131720614247,-0.42171393891524667,-0.46730686326948
1,3971,0,1,0,0,0,0,0,0,0,1,0,0,0.45746969284915473,1.2402969241449986,1.117213449608045,0.4511456651812308,0.5254379115343579,0.6452804354996143
1,5208,1,0,0,0,0,0,0,0,0,1,0,0,0.9463942325802193,2.292976015648467,-1.536800957866781,0.9255518044538119,0.9042986517142007,1.2232478634316113
1,3611,0,1,0,0,0,0,1,0,0,0,0,0,0.45746969284915473,1.5210113485459225,0.23254198044976965,0.5764604944230445,0.5254379115343579,0.7464247353877136
4,10656,0,0,1,0,0,0,0,0,1,0,0,0,1.180227708103772,0.6788680753431509,-0.20979375412936802,1.1582793444743236,1.2109954413835964,1.281044606224811
2,1999,0,0,0,0,1,0,0,0,0,0,1,0,-0.20151555635358462,1.2402969241449986,0.6748777150289074,-0.06801577024914171,-0.09697616161823902,0.0673130075676174
5,1076,0,0,1,0,0,0,0,0,1,0,0,0,-0.8179856281884051,-0.44398962226054967,-1.0944652232876433,-0.8020026272369098,-0.8366566543503116,-0.857434877123578
4,1813,0,0,1,0,0,0,0,0,1,0,0,0,-0.562894563980893,0.25779643874176256,-0.20979375412936802,-0.4887155541323751,-0.511918877053304,-0.46730686326948
3,2812,0,0,0,0,1,0,0,1,0,0,0,0,-0.20151555635358462,-0.022917985659161342,0.23254198044976965,-0.08591788871225842,-0.03383270492159844,-0.06272966371708173
2,505,0,0,1,0,0,0,0,0,0,1,0,0,-0.9242735716082017,-0.16327519785962577,-0.20979375412936802,-1.0347301672574214,-1.017066530626427,-1.0308251055031774
1,2164,1,0,0,0,0,0,0,1,0,0,0,0,-0.13774279030170655,-5.8477422919783555,3.3288921225037336,0.41534142825499815,0.3811100105134665,-0.3372641919847809
3,2582,0,0,1,0,0,0,0,0,0,0,1,0,-0.18025796766962526,-0.09309659175939355,-0.20979375412936802,-0.02326047409135114,-0.09697616161823902,-0.06272966371708173
3,1722,0,0,1,0,0,1,0,0,0,0,0,0,-0.562894563980893,-0.022917985659161342,-1.0944652232876433,-0.4708134356692584,-0.4397549265428578,-0.4528576775711798
